File,Key,Context,English,Afrikaans,Arabic,Catalan,"Chinese Simplified","Chinese Traditional",Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Norwegian,OwO,"Pirate English",Polish,Portuguese,"Portuguese, Brazilian",Romanian,Russian,"Serbian (Cyrillic)",Spanish,Swedish,Turkish,Ukrainian,Vietnamese
en-us.json,"""algorithm.modelFileTooptip"""," -> algorithm.modelFileTooptip","Name of the model file","Name of the model file","Name of the model file","Name of the model file",模型文件名称,模型檔案名稱,"Name of the model file","Name of the model file","Naam van het model bestand","Name of the model file","Name of the model file","Nom du fichier du modèle","Name der Modelldatei","Name of the model file","Name of the model file","Name of the model file","Nama Model file","Nome del file del modello","Name of the model file","Name of the model file","Name of the model file","name of the modew fiwe UwU","Name o' th' treasure map file","Nazwa pliku modelu","Name of the model file","Name of the model file","Name of the model file","Имя файла модели","Name of the model file","Nombre del archivo del modelo","Modell filens namn","Name of the model file","Name of the model file","Name of the model file"
en-us.json,"""algorithm.inferenceThreads"""," -> algorithm.inferenceThreads","Inference Threads","Inference Threads","Inference Threads","Inference Threads",推理线程,推論執行緒,"Inference Threads","Inference Threads",Inferentiethreads,"Inference Threads","Inference Threads","Threads d'inférence",Inferenz-Threads,"Inference Threads","Inference Threads","Inference Threads","Inference Threads","Thread Di Inferenza","Inference Threads","Inference Threads","Inference Threads","infewence thweads >w<","Inference Ropes","Inference Threads","Inference Threads","Inference Threads","Inference Threads","Потоки инференса","Inference Threads","Hilos de Inferencia","Inference trådar","Inference Threads","Inference Threads","Inference Threads"
en-us.json,"""algorithm.inferenceThreadsTooltip"""," -> algorithm.inferenceThreadsTooltip","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model",运行模型所用线程数,處理模型使用的執行緒數量,"How many threads to use for processing the model","How many threads to use for processing the model","Hoe veel threads gebruikt moeten worden voor het verwerken van het model","How many threads to use for processing the model","How many threads to use for processing the model","Combien de threads voulez-vous utiliser pour le processus du modèle","Wie viele Threads zur Verarbeitung des Modells verwendet werden sollen","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model","Berapa banyak threads yang digunakan untuk memproses model ini","Quanti thread usare per elaborare il modello","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model","how many thweads to use fow pwocessing the modew nya~","How many ropes to use fer processin' th' treasure map","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model","Количество потоков для выполнения инференса модели","How many threads to use for processing the model","Cuántos hilos se usarán para procesar el modelo","Hur många trådar ska användas för att bearbeta modellen","How many threads to use for processing the model","How many threads to use for processing the model","How many threads to use for processing the model"
en-us.json,"""algorithm.runtime"""," -> algorithm.runtime",Runtime,Runtime,Runtime,Runtime,运行时,執行環境,Runtime,Runtime,Doorlooptijd,Runtime,Runtime,"Temps d'exécution",Laufzeit,Runtime,Runtime,Runtime,"Waktu Berjalan","Tempo di esecuzione",Runtime,Runtime,Runtime,wuntime,"Sailin' Time","Czas działania",Runtime,Runtime,Runtime,"Среда выполнения",Runtime,"Rutina de ejecución",Drivrutin,Runtime,Runtime,Runtime
en-us.json,"""algorithm.runtimeTooltip"""," -> algorithm.runtimeTooltip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-us.json,"""algorithm.GPUIndex"""," -> algorithm.GPUIndex","GPU Index","GPU Index","GPU Index","GPU Index",GPU编号,"GPU 編號","GPU Index","GPU Index",GPU-Index,"GPU Index","GPU Index","Index GPU",GPU-Index,"GPU Index","GPU Index","GPU Index","GPU Index","Indice GPU","GPU Index","GPU Index","GPU Index","GPU index OwO","GPU Index","Indeks GPU","GPU Index","GPU Index","GPU Index","Индекс GPU","GPU Index","Índice de GPU","GPU Index","GPU Index","GPU Index","GPU Index"
en-us.json,"""algorithm.GPUIndexTooltip"""," -> algorithm.GPUIndexTooltip","Select which device to run inference","Select which device to run inference","Select which device to run inference","Select which device to run inference",选择推理用设备,選擇要執行推論的裝置,"Select which device to run inference","Select which device to run inference","Selecteer op welk apparaat de inferentie moet worden uitgevoerd","Select which device to run inference","Select which device to run inference","Sélectionnez l'appareil pour exécuter l'inférence","Wählen Sie aus, auf welchem ​​Gerät die Inferenz ausgeführt werden soll","Select which device to run inference","Select which device to run inference","Select which device to run inference","Pilih perangkat untuk menjalankan inferensi","Seleziona quale dispositivo eseguire l'inferenza","Select which device to run inference","Select which device to run inference","Select which device to run inference","sewect which device to wun infewence UwU","Select which device to run inference, ye scurvy dog","Select which device to run inference","Select which device to run inference","Select which device to run inference","Select which device to run inference","Выберите устройство для выполнения инференции","Select which device to run inference","Selecciona en qué dispositivo ejecutar la inferencia","Välj vilken enhet som ska användas för inference","Select which device to run inference","Select which device to run inference","Select which device to run inference"
en-us.json,"""algorithm.useGPU"""," -> algorithm.useGPU","Use GPU","Use GPU","Use GPU","Use GPU",使用GPU加速,"使用 GPU","Use GPU","Use GPU","Gebruik GPU","Use GPU","Use GPU","Utiliser le GPU","GPU verwenden","Use GPU","Use GPU","Use GPU","Gunakan GPU","Utilizza GPU","Use GPU","Use GPU","Use GPU","use GPU >w<","Use GPU","Użyj GPU","Use GPU","Use GPU","Use GPU","Использовать GPU","Use GPU","Usar GPU","Använd GPU","Use GPU","Use GPU","Use GPU"
en-us.json,"""algorithm.useGPUTooltip"""," -> algorithm.useGPUTooltip","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution",切换GPU执行,"切換 GPU 執行","Toggle GPU execution","Toggle GPU execution","GPU uitvoering inschakelen","Toggle GPU execution","Toggle GPU execution","Activer l'exécution avec le GPU","GPU-Ausführung umschalten","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution","Alihkan penggunaan GPU","Attiva/disattiva esecuzione GPU","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution","toggwe GPU execution nya~","Toggle GPU execution, aye","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution","Переключить выполнение на GPU","Toggle GPU execution","Alternar ejecución en GPU","Använd GPU Exekvering","Toggle GPU execution","Toggle GPU execution","Toggle GPU execution"
en-us.json,"""algorithm.modelOutputMultiplier"""," -> algorithm.modelOutputMultiplier","Model output multiplier","Model output multiplier","Model output multiplier","Model output multiplier",模型输出乘数,模型輸出倍率,"Model output multiplier","Model output multiplier","Model-uitvoer vermenigvuldiger","Model output multiplier","Model output multiplier","Multiplicateur de sortie du modèle",Modellausgabemultiplikator,"Model output multiplier","Model output multiplier","Model output multiplier","Pengandaan hasil model","Moltiplicatore di uscita del modello","Model output multiplier","Model output multiplier","Model output multiplier","modew output muwtipwiew","Treasure map output multiplier","Mnożnik modelu wyjściowego","Model output multiplier","Model output multiplier","Model output multiplier","Множитель выходных данных модели","Model output multiplier","Multiplicador de salida del modelo","Modell utmatningsmultiplikator","Model output multiplier","Model output multiplier","Model output multiplier"
en-us.json,"""algorithm.modelOutputMultiplierTooltip"""," -> algorithm.modelOutputMultiplierTooltip","Model output modifier","Model output modifier","Model output modifier","Model output modifier",模型输出修改器,模型輸出修改器,"Model output modifier","Model output modifier","Model-uitvoer modificator","Model output modifier","Model output modifier","Modificateur de sortie du modèle",Modellausgabemodifikator,"Model output modifier","Model output modifier","Model output modifier","Modifikasi hasil model","Modificatore di uscita del modello","Model output modifier","Model output modifier","Model output modifier","modew output modifiew OwO","Treasure map output modifier","Modyfikator modelu wyjściowego","Model output modifier","Model output modifier","Model output modifier","Модификатор выходных данных модели","Model output modifier","Modificador de salida del modelo","Modell utmatningsmodifiering","Model output modifier","Model output modifier","Model output modifier"
en-us.json,"""algorithm.calibrationDeadzone"""," -> algorithm.calibrationDeadzone","Calibration Deadzone","Calibration Deadzone","Calibration Deadzone","Calibration Deadzone",校准死区,校正死區,"Calibration Deadzone","Calibration Deadzone","Kalibratie dode zone","Calibration Deadzone","Calibration Deadzone","Calibration de la zone morte",Kalibrierungs-Totzone,"Calibration Deadzone","Calibration Deadzone","Calibration Deadzone","Kalibrasi Zona mati","Calibrazione Deadzone","Calibration Deadzone","Calibration Deadzone","Calibration Deadzone","cawibwation deadzone UwU","Calibration Dead Man's Zone","Martwa strefa kalibracji","Calibration Deadzone","Calibration Deadzone","Calibration Deadzone","Мертвая зона калибровки","Calibration Deadzone","Zona muerta de calibración","Dödzon för Kalibrering","Calibration Deadzone","Calibration Deadzone","Calibration Deadzone"
en-us.json,"""algorithm.calibrationDeadzoneTooltip"""," -> algorithm.calibrationDeadzoneTooltip","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values",偏移最小校准值,偏移最小校正值,"Offset the minimum calibrated values","Offset the minimum calibrated values","Minimum kalibratie waardes afstellen","Offset the minimum calibrated values","Offset the minimum calibrated values","Décalage minimum des valeurs de calibration","Offset der minimal kalibrierten Werte","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","Tentukan nilai minimum kalibrasi","Offset dei valori minimi calibrati","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","offset the minimum cawibwated vawues >w<","Offset th' minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values","Смещение минимальных откалиброванных значений","Offset the minimum calibrated values","Compensar los valores mínimos calibrados","Offset för minimala kalibrerade värden","Offset the minimum calibrated values","Offset the minimum calibrated values","Offset the minimum calibrated values"
en-us.json,"""algorithm.oneEuroFilterParameters"""," -> algorithm.oneEuroFilterParameters","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","One Euro过滤器参数","OneEuro 過濾器參數","One Euro Filter Parameters","One Euro Filter Parameters","Eén Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","Paramètre du One Euro Filter","Ein Euro Filter Parameter","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","Satu Euro filter parameter","Parametri Filtro Euro","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","One Euwo Fiwtew pawametews nya~","One Euro Filter Riggin's","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters","Параметры One Euro Filter","One Euro Filter Parameters","Parámetros de One Euro Filter","One Euro Filter Parametrar","One Euro Filter Parameters","One Euro Filter Parameters","One Euro Filter Parameters"
en-us.json,"""algorithm.minFrequencyCutoff"""," -> algorithm.minFrequencyCutoff","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff",最小截止频率,最小頻率截止,"Min Frequency Cutoff","Min Frequency Cutoff","Min Frequentie afkapping","Min Frequency Cutoff","Min Frequency Cutoff","Fréquence minimale de la coupure","Minimale Grenzfrequenz","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff","Batas Frekuensi Minimum","Taglio Frequenza Minima","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff","min fwequency cutoff ","Min Frequency Cutoff","Odcięcie przy minimalnej częstotliwości","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff","Минимальная частота среза","Min Frequency Cutoff","Corte de frecuencia mínima","Min Frekvens Cutoff","Min Frequency Cutoff","Min Frequency Cutoff","Min Frequency Cutoff"
en-us.json,"""algorithm.minFrequencyCutoffTooltip"""," -> algorithm.minFrequencyCutoffTooltip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-us.json,"""algorithm.speedCoefficient"""," -> algorithm.speedCoefficient","Speed Coefficient","Speed Coefficient","Speed Coefficient","Speed Coefficient",速度系数,速度係數,"Speed Coefficient","Speed Coefficient",Snelheidscoëfficiënt,"Speed Coefficient","Speed Coefficient","Coefficient de vitesse",Geschwindigkeitskoeffizient,"Speed Coefficient","Speed Coefficient","Speed Coefficient","Kecepatan koefisien","Coefficiente Di Velocità","Speed Coefficient","Speed Coefficient","Speed Coefficient","spweed coewwicient OwO","Speed Coefficient","Speed Coefficient","Speed Coefficient","Speed Coefficient","Speed Coefficient","Коэффициент скорости","Speed Coefficient","Coeficiente de Velocidad",Hastighetskoefficient,"Speed Coefficient","Speed Coefficient","Speed Coefficient"
en-us.json,"""algorithm.speedCoefficientTooltip"""," -> algorithm.speedCoefficientTooltip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-us.json,"""camera.selectEntireFrame"""," -> camera.selectEntireFrame","Select Entire Frame","Select Entire Frame","Select Entire Frame","Select Entire Frame",选择全部帧,選擇整個畫面,"Select Entire Frame","Select Entire Frame","Selecteer volledige frame","Select Entire Frame","Select Entire Frame","Sélectionner l'image entièrement","Gesamten Bild auswählen","Select Entire Frame","Select Entire Frame","Select Entire Frame","Pilih Seluruh Bingkai","Seleziona L'Intero Fotogramma","Select Entire Frame","Select Entire Frame","Select Entire Frame","sewect entiwe fwame UwU","Select Entire Map","Zaznacz cały obraz","Select Entire Frame","Select Entire Frame","Select Entire Frame","Выбрать весь кадр","Select Entire Frame","Seleccionar Fotograma Completo","Välj Hela Bildrutan","Select Entire Frame","Select Entire Frame","Select Entire Frame"
en-us.json,"""camera.selectEntireFrameTooltip"""," -> camera.selectEntireFrameTooltip","Automatically set ROI","Automatically set ROI","Automatically set ROI","Automatically set ROI",自动设定兴趣区,"自動設定 ROI","Automatically set ROI","Automatically set ROI","Stel ROI automatisch in","Automatically set ROI","Automatically set ROI","Définir automatiquement le ROI","Automatisch festgelegter ROI","Automatically set ROI","Automatically set ROI","Automatically set ROI","Otomatis tentukan ROI","Imposta automaticamente ROI","Automatically set ROI","Automatically set ROI","Automatically set ROI","automaticawwy set WOI >w<","Automatically set ROI, ye swab","Automatycznie ustaw ROI","Automatically set ROI","Automatically set ROI","Automatically set ROI","Автоматически устанавливать ROI","Automatically set ROI","Establecer ROI automáticamente","Ställ ROI Automatiskt","Automatically set ROI","Automatically set ROI","Automatically set ROI"
en-us.json,"""camera.rotation"""," -> camera.rotation",Rotation,Rotation,Rotation,Rotation,旋转,旋轉,Rotation,Rotation,Rotatie,Rotation,Rotation,Rotation,Drehung,Rotation,Rotation,Rotation,Rotasi,Rotazione,Rotation,Rotation,Rotation,"wotation nya~",Rotation,Rotacja,Rotation,Rotation,Rotation,Поворот,Rotation,Rotación,Rotation,Rotation,Rotation,Rotation
en-us.json,"""camera.rotationTooltip"""," -> camera.rotationTooltip","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level",调整相机的旋转，使其水平,調整攝影機角度使其水平,"Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Pas de rotatie van je camera's aan, maak ze waterpas","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Ajustez la rotation des caméras, au même niveau","Passen Sie die Drehung Ihrer Kameras an, stellen diese waagerecht ein","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Sesuaikan rotasi kamera anda, buatlah sejajar","Regola la rotazione delle tue telecamere, rendendole a livello","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","adjust the wotation of youw camewas, make them wevew","Adjust th' rotation o' yer spyglasses, make 'em level","Dostosuj obrót kamery, wyrównaj ją","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Настройте поворот ваших камер, чтобы они были выровнены","Adjust the rotation of your cameras, make them level","Ajusta la rotación de las cámaras, asegúrate de que están niveladas","Justera rotationen av kameran, Säkerställa att de är plana","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level","Adjust the rotation of your cameras, make them level"
en-us.json,"""camera.startCalibration"""," -> camera.startCalibration","Start Calibration","Start Calibration","Start Calibration","Start Calibration",开始校准,開始校正,"Start Calibration","Start Calibration","Start Kalibratie","Start Calibration","Start Calibration","Commencer la calibration","Kalibrierung starten","Start Calibration","Start Calibration","Start Calibration","Mulai Kalibrasi","Avvia Calibrazione","Start Calibration","Start Calibration","Start Calibration","stawt cawibwation OwO","Start Calibratin'","Rozpocznij kalibracje","Start Calibration","Start Calibration","Start Calibration","Начать калибровку","Start Calibration","Iniciar Calibración","Starta Kalibrering","Start Calibration","Start Calibration","Start Calibration"
en-us.json,"""camera.startCalibrationTooltip"""," -> camera.startCalibrationTooltip","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","中性校准：保持放松的面部，按[开始校准]，然后按[停止校准]。
完全校准：按[开始校准]，尽可能多地进行面部移动，直到它切换回跟踪模式或按[停止校准]","自然校正：保持放鬆的表情，按下「開始校正」後再按「停止校正」。
完整校正：按下「開始校正」後，盡可能做出各種表情動作，直到切換回追蹤模式或按下「停止校正」","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutrale kalibratie: Hou een ontspannen gezicht vast, druk op [Start Kalibratie] en druk dan op [Stop Kalibratie]. Volledige Kalibratie: Druk op [Start Kalibratie] en maak zoveel mogelijk gezichtsbewegingen totdat naar de tracking-modus wordt teruggeschakeld of druk op [Stop Kalibratie]","Neutral Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibration]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Calibration Neutre : Maintenez un visage neutre, appuyez sur [Commencer la calibration] et ensuite sur [Arrêter la calibration].
Calibration Complète : Appuyez sur [Commencer la calibration] et faites autant de mouvements que vous pouvez jusqu'à ça reviennent en mode de suivi ou appuyez sur [Arrêter la calibration]","Neutrale Kalibrierung: Machen Sie ein entspanntes Gesicht, drücken Sie [Kalibrierung starten] und dann [Kalibrierung stoppen].
Vollständige Kalibrierung: Drücken Sie [Kalibrierung starten] und machen Sie so viele Gesichtsbewegungen wie möglich, bis es wieder in den Tracking-Modus wechselt, oder drücken Sie [Kalibrierung stoppen]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Kalibrasi Netral: Tahan wajah rileks, tekan [Mulai Kalibrasi] dan kemudian tekan [Hentikan Kalibrasi].
Kalibrasi Penuh: Tekan [Mulai Kalibrasi] dan buat sebanyak mungkin gerakan wajah sampai kembali ke mode pelacak atau tekan [Hentikan Kalibrasi]","Calibrazione neuturale: Tieni un viso rilassato, premi [Avvia Calibrazione] e poi premi [Ferma Calibrazione]. 
Calibrazione completa: Premere [Avvia calibrazione] e fai il maggior numero di movimenti facciali possibili fino a quando non passa automaticamente alla modalità di tracciamento o premere [Ferma calibrazione]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","neutwaw cawibwation: howd a wewaxed face, pwess [stawt cawibwation] and then pwess [stop cawibwaion]. 
fuww cawibwation: pwess [stawt cawibwation] and make as many face movements as you can untiw it switches back to twacking mode ow pwess [stop cawibwation] UwU","Neutral Calibration: Hold a relaxed face, press [Start Calibratin'] and then press [Stop Calibratin']. 
Full Calibration: Press [Start Calibratin'] and make as many face movements as ye can until it switches back to trackin' mode or press [Stop Calibratin']","Kalibracja Neutralna: Utrzymaj zrelaksowaną ekspresję, potem naciśnij [Rozpocznij kalibrację] a następnie [Zatrzymaj kalibrację].
Pełna kalibracja: Naciśnij [Rozpocznij kalibrację] a następnie wykonaj jak najwięcej ruchów twarzy aż tryb przełączy się na Śledzenie, lub naciśnij [Zatrzymaj kalibrację]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Нейтральная калибровка: Держите расслабленное лицо, нажмите [Начать калибровку], а затем нажмите [Остановить калибровку].
Полная калибровка: Нажмите [Начать калибровку] и сделайте как можно больше движений лицом, пока режим не переключится обратно на отслеживание, или нажмите [Остановить калибровку]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Calibración Neutral: Mantén la cara relajada, presiona [Iniciar Calibración] y luego [Detener Calibración]. 
Calibración Completa: Presiona [Iniciar Calibración] y haz tantos movimientos faciales como puedas hasta que vuelva a modo de seguimiento o presiona [Detener Calibración]","Neutral Kalibrering: Håll en avslappnad min, Tryck [Starta Kalibrering] och tryck sedan [Stoppa Kalibrering]. Full Kalibrering: Tryck [Starta Kalibrering] och gör sedan så många miner och ansiktsrörelser du kan tills den byter tillbaka till spårningsläge eller tryck [Stoppa Kalibrering]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]","Neutural Calibration: Hold a relaxed face, press [Start Calibration] and then press [Stop Calibraion]. 
Full Calibration: Press [Start Calibration] and make as many face movements as you can until it switches back to tracking mode or press [Stop Calibration]"
en-us.json,"""camera.stopCalibration"""," -> camera.stopCalibration","Stop Calibration","Stop Calibration","Stop Calibration","Stop Calibration",停止校准,停止校正,"Stop Calibration","Stop Calibration","Stop Kalibratie","Stop Calibration","Stop Calibration","Arrêter la calibration","Kalibrierung stoppen","Stop Calibration","Stop Calibration","Stop Calibration","Hentikan Kalibrasi","Ferma Calibrazione","Stop Calibration","Stop Calibration","Stop Calibration","stop cawibwation >w<","Stop Calibratin'","Zakończ kalibracje","Stop Calibration","Stop Calibration","Stop Calibration","Остановить калибровку","Stop Calibration","Detener Calibración","Stoppa Kalibrering","Stop Calibration","Stop Calibration","Stop Calibration"
en-us.json,"""camera.stopCalibrationTooltip"""," -> camera.stopCalibrationTooltip","Stop calibration manually","Stop calibration manually","Stop calibration manually","Stop calibration manually",手动停止校准,手動停止校正程序,"Stop calibration manually","Stop calibration manually","Stop handmatig de kalibratie","Stop calibration manually","Stop calibration manually","Arrêter la calibration manuellement","Kalibrierung manuell stoppen","Stop calibration manually","Stop calibration manually","Stop calibration manually","Hentikan kalibrasi secara manual","Ferma manualmente la calibrazione","Stop calibration manually","Stop calibration manually","Stop calibration manually","stop cawibwation manuawwy nya~","Stop calibratin' manually, ye scurvy dog","Ręczne zatrzymanie kalibracji","Stop calibration manually","Stop calibration manually","Stop calibration manually","Остановить калибровку вручную","Stop calibration manually","Detener calibración manualmente","Stoppa kalibreringen manuellt","Stop calibration manually","Stop calibration manually","Stop calibration manually"
en-us.json,"""camera.enableCalibration"""," -> camera.enableCalibration","Enable Calibration","Enable Calibration","Enable Calibration","Enable Calibration",启用校准,啟用校正,"Enable Calibration","Enable Calibration","Kalibratie Inschakelen","Enable Calibration","Enable Calibration","Activer la calibration","Kalibrierung aktivieren","Enable Calibration","Enable Calibration","Enable Calibration","Mengaktifkan Kalibrasi","Abilita Calibrazione","Enable Calibration","Enable Calibration","Enable Calibration","enabwe cawibwation","Hoist Calibration","Włącz kalibracje","Enable Calibration","Enable Calibration","Enable Calibration","Включить калибровку","Enable Calibration","Habilitar Calibración","Slå På Kalibrering","Enable Calibration","Enable Calibration","Enable Calibration"
